start_betriebsstelle,ziel_betriebsstelle,mean_delay,median_delay,number_of_trips
NIFG,MFL,6.420833333333333,2.341666666666667,4
NIFG,OF,3.6848765432098762,0.9416666666666667,216
NIFG,OW,13.319444444444443,1.7916666666666665,6
NIFG,PARA1,1.3053333333333332,0.5333333333333333,125
NIFG,UR,0.96267087276551,-0.16666666666666666,317
NL,NL,-30.0,-30.0,2
NL H1,OW,6.611111111111111,5.316666666666666,3
NL S11,WATS95,3.825,3.825,2
NOEH1,KT H1,0.5833333333333334,0.5833333333333334,1
NOEH1,STV,-1.1166666666666667,-1.1166666666666667,1
NS,MUES41,4.05,4.05,1
NS,OF,2.0502923976608187,0.43333333333333335,57
NS,UR,3.6799999999999997,1.4916666666666667,10
NS,WULG,1.7595238095238097,0.35,21
NS G,GO,10.2,10.2,1
NS G,PAMG,0.846751863684771,-0.08333333333333333,1252
NS G,WAL,1.3386703812957501,-0.05,3051
NSF,HW Z3,-0.37083333333333335,-0.45833333333333337,8
NSF,NSF,-2.3333333333333335,-2.3333333333333335,1
NSF,SBF,0.9151960784313725,0.575,34
NSK,HW Z3,-1.0,-1.0,1
NSK,NSK,-5.4,-5.4,1
NSL,HW Z3,0.9928339319309047,-0.35,1949
NSL,NST,0.7872821810005621,0.18333333333333332,1186
NSL,NSW,1.5833333333333333,1.5833333333333333,1
NSL,SBF,6.141666666666667,6.141666666666667,2
NST,BRO,-0.12738888888888888,-0.7166666666666667,300
NST,HW Z3,1.2163978494623657,-0.1,248
NST,MAU,16.575,16.575,2
NST,NSL,-0.3825744800449691,-0.9333333333333333,1186
NST,NSW,27.508333333333333,27.508333333333333,2
NST,OW,13.933333333333334,13.933333333333334,1
NSTH2,KLSS21,-0.8166666666666667,-0.8166666666666667,1
NSTS11,HW Z3,22.633333333333333,22.633333333333333,1
NSW,NSW,4.1,4.1,1
NW,GR S11,5.733333333333333,5.733333333333333,1
NW,NW,-13.358333333333334,-13.358333333333334,2
NW H1H,KLSS21,7.716666666666667,7.716666666666667,1
NW H2,HAIH2,2.85,2.85,1
NW H3,BDE,13.9,13.366666666666667,4
NW H3,BF S21,7.233333333333333,6.866666666666666,3
NW H3,BIB,1.653333333333333,0.9833333333333333,5
NW H3,BU,0.3939613526570048,-0.4166666666666667,414
NW H3,BVSH1,25.306666666666665,25.716666666666665,5
NW H3,EDLA2,12.753333333333334,12.3,5
NW H3,FWSZ1,1.6359649122807016,0.8083333333333333,38
NW H3,GLO,2.502462121212121,1.375,88
NW H3,GLOS21,2.366148325358852,0.9333333333333333,418
NW H3,HAIH2,2.030221653878943,1.0833333333333333,391
NW H3,KLSS21,1.616125541125541,1.0333333333333334,154
NW H3,LGF,1.9234126984126985,0.3333333333333333,126
